,speech_type,proceeding,date,speaker_surname,country,speaker_name,country_code,position
3574,General debate,A_66_PV.27_E, 2011-09-26 ,Santos López,Nicaragua,Samuel  Santos López,NIC,Minister for Foreign Affairs of Nicaragua. in Spanish): At this general debate of the sixty-sixth Mr. Santos Lopez (Nicaragua) (spoke session of the General Assembly
3575,General debate,A_66_PV.27_E, 2011-09-26 ,Frick,Liechtenstein,Aurelia  Frick,LIE,Minister for Foreign Affairs
3549,General debate,A_66_PV.28_E, 2011-09-27 ,Elrington,Belize,Wilfred P.  Elrington,BLZ,Attorney General and Minister for Foreign Affairs and Foreign Trade of Belize. Mr. Elrington (Belize): It is an honour for me to deliver this address on behalf of the people and the immutability of 18 But todays world Todays world Government of Belize. It is a particular privilege to do so with Mr. Al-Nasser at the helm of the Assembly. I say so because Belize has the distinct pleasure of having him as the Ambassador of Qatar to Belize
3550,General debate,A_66_PV.28_E, 2011-09-27 ,Bako-Arifari,Benin,Nassirou   Bako-Arifari,BEN,Minister Affairs
3551,General debate,A_66_PV.28_E, 2011-09-27 ,Mamberti,Holy See,Dominique  Mamberti,VAT,Secretary for Relations with States of the Observer State of the Holy See. Archbishop Mamberti (Holy See) (spoke in French): I have the pleasure of congratulating you
3552,General debate,A_66_PV.28_E, 2011-09-27 ,Tovichakchaikul,Thailand,Surapong  Tovichakchaikul,THA,Minister for Foreign Affairs of the Kingdom of Thailand. Mr. Tovichakchaikul (Thailand): On behalf of the delegation of the Kingdom of Thailand
3553,General debate,A_66_PV.28_E, 2011-09-27 ,Lavrov,Russian Federation,Sergei Viktorovich  Lavrov,RUS,Minister for Foreign Affairs of the Russian Federation. in Russian): This year the General Assembly is opening at a time when international relations are in a state of turbulence. 
3554,General debate,A_66_PV.28_E, 2011-09-27 ,Mutharika,Malawi,Arthur Peter  Mutharika,MWI,Minister for Foreign Affairs of the Republic of Malawi. Mr. Mutharika (Malawi): First of all
3555,General debate,A_66_PV.28_E, 2011-09-27 ,Aman,Malaysia,Anifah  Aman,MYS,Minister for Foreign Affairs of Malaysia. Mr. Aman (Malaysia): I would like to take this opportunity to congratulate you
3556,General debate,A_66_PV.28_E, 2011-09-27 ,Mammadyarov,Azerbaijan,Elmar Maharram oglu  Mammadyarov,AZE,Minister for Foreign Affairs of the Republic of Azerbaijan. Mr. Mammadyarov (Azerbaijan): I would like to join previous speakers in congratulating you
3557,General debate,A_66_PV.28_E, 2011-09-27 ,Pham,Viet Nam,Binh Minh  Pham,VNM,Minister for Foreign Affairs of the Socialist Republic of Viet Nam. Mr. Pham Binh Minh (Viet Nam): On behalf of the Vietnamese delegation
3558,General debate,A_66_PV.28_E, 2011-09-27 ,Lwin,Myanmar,Wunna Maung  Lwin,MMR,Minister for Foreign Affairs of the Republic of the Union of Myanmar. Mr. Lwin (Myanmar): Allow me to extend our congratulations to Mr. Nassir Abdulaziz Al-Nasser on his assumption of the Presidency of the General Assembly at its sixty-sixth session. I am confident that with his wide knowledge
3559,General debate,A_66_PV.28_E, 2011-09-27 ,Bassolé,Burkina Faso,Djibrill Yipènè  Bassolé,BFA,Minister for Foreign Affairs and Regional Cooperation of Burkina Faso. Mr. Bassole (Burkina Faso) (spoke in French): 
3560,General debate,A_66_PV.28_E, 2011-09-27 ,Al-Qirbi,Yemen,Abubakr A.  Al-Qirbi,YEM,Minister for Foreign Affairs of the Republic of Yemen. Mr. Al-Qirbi (Yemen) (spoke in Arabic): At the outset
3561,General debate,A_66_PV.28_E, 2011-09-27 ,Martynov,Belarus,Sergei N.  Martynov,BLR,Minister for Foreign Affairs of the Republic of Belarus. Mr. Martynov (Belarus) (spoke in Russian): Much has been said from this rostrum in recent years about global governance. Yet in fact there is a pervasive feeling that chaos is inexorably engulfing our planet. Indeed
3562,General debate,A_66_PV.28_E, 2011-09-27 ,Shanmugam,Singapore,K.  Shanmugam,SGP,Minister for Foreign Affairs of the Republic of Singapore. Mr. Shanmugam (Singapore): Allow me to congratulate Ambassador Nassir Abdulaziz Al-Nasser on his election as President of the General Assembly at its sixty-sixth session. I would also like to congratulate Secretary-General Ban Ki-moon on his unanimous reappointment to a second term. I extend my warmest congratulations to South Sudan on becoming the newest Member of the United Nations family. We wish President Al-Nasser and Secretary-General Ban success in the year ahead. 
3563,General debate,A_66_PV.28_E, 2011-09-27 ,Mularoni,San Marino,Antonella  Mularoni,SMR,Minister for Foreign and Political Affairs
3564,General debate,A_66_PV.28_E, 2011-09-27 ,Hamadi,Mauritania,Hamadi Ould Baba Ould  Hamadi,MRT,Minister for Foreign Affairs and Cooperation of the Islamic Republic of Mauritania. in Arabic): It is my honour and pleasure at the outset of this brief statement to welcome and congratulate the to Republic of South Sudan upon membership its participation for the first time in the work of the General Assembly. to warmly congratulate Mr. Nassir Abdulaziz Al-Nasser on his election to the presidency of the Assembly at its sixty-sixth session. Allow me to express our full confidence in him as he undertakes to strengthen the progress achieved to date in terms of international peace and security
3539,General debate,A_66_PV.29_E, 2011-09-27 ,McLay,New Zealand,Jim  McLay,NZL,chair of the delegation of New Zealand. Mr. McLay (New Zealand): As we say in Maori
3540,General debate,A_66_PV.29_E, 2011-09-27 ,Carrión Mena,Ecuador,Francisco  Carrión Mena,ECU,chair of the delegation of Ecuador. in Spanish): In June 2009
3541,General debate,A_66_PV.29_E, 2011-09-27 ,Cujba,Republic of Moldova,Alexandru  Cujba,MDA,chair of the delegation of the Republic of Moldova. Mr. Cujba (Republic of Moldova): It is a great honour and privilege to take part in the general debate and to represent my country on this rostrum at a significant juncture in Moldovas modern history
3542,General debate,A_66_PV.29_E, 2011-09-27 ,Mungoma,Zambia,Lucy  Mungoma,ZMB,Permanent Secretary at the Ministry of Foreign Affairs of Zambia. Ms. Mungoma (Zambia): I wish
3543,General debate,A_66_PV.29_E, 2011-09-27 ,Eide,Norway,Espen Barth  Eide,NOR,Deputy Minister for Foreign Affairs of Norway. Mr. Eide (Norway): Since we last met here
3544,General debate,A_66_PV.29_E, 2011-09-27 ,Soto,Panama,Francisco Álvarez de  Soto,PAN,Deputy Minister for Foreign Affairs of the Republic of Panama. in Spanish): It is an honour for me to address the international community
3545,General debate,A_66_PV.29_E, 2011-09-27 ,Khar,Pakistan,Hina Rabbani  Khar,PAK,Minister for Foreign Affairs of Pakistan. Ms. Khar (Pakistan): I am honoured to be here today and to represent the brave and resilient people of Pakistan before the Assembly. As participants may know
3546,General debate,A_66_PV.29_E, 2011-09-27 ,Maduro Moros,Venezuela,Nicolás  Maduro Moros,VEN,Minister of the Peoples Power for Foreign Affairs of the Bolivarian Republic of Venezuela. Mr. Maduro Moros (Bolivarian Republic of Venezuela) (spoke in Spanish): It is almost the end of the beginning of the annual debate in United Nations. Having listened to and evaluated positions on different world issues debated by the planet and all of humanity
3547,General debate,A_66_PV.29_E, 2011-09-27 ,Costea,Romania,Doru-Romulus  Costea,ROU,Deputy Minister for Foreign Affairs of Romania. Mr. Costea (Romania) (spoke in French): At the outset
3548,General debate,A_66_PV.29_E, 2011-09-27 ,Pak,Democratic People's Republic of Korea,Gil Yon  Pak,PRK,Mr. Syed Yusuf Raza Gilani
3565,General debate,A_66_PV.30_E, 2011-09-27 ,Nazarian,Armenia,Garen  Nazarian,ARM,
3566,General debate,A_66_PV.30_E, 2011-09-27 ,Musayev,Azerbaijan,Tofig  Musayev,AZE,
3567,General debate,A_66_PV.30_E, 2011-09-27 ,St. Aimee,Saint Lucia,Donatus Keith  St. Aimee,LCA,chairman of the delegation of Saint Lucia. Mr. St. Aimee (Saint Lucia): Not since the prelude to the two world wars have there been so much uncertainty and anxiety within the international system. 
3568,General debate,A_66_PV.30_E, 2011-09-27 ,Henderson,Dominica,Vince  Henderson,DMA,chairman of the delegation of the Commonwealth of Dominica. Mr. Henderson (Dominica): On behalf of my delegation and the Government and the people of the Commonwealth of Dominica
3569,General debate,A_66_PV.30_E, 2011-09-27 ,Cabactulan,Philippines,Libran N.  Cabactulan,PHL,chairman of the delegation of the Philippines. Mr. Cabactulan (Philippines): Allow me at the outset to congratulate Ambassador Nassir Abdulaziz Al-Nasser on his election and to offer the Philippines full support for his leadership in this sixty-sixth session of the General Assembly. Our collective experience as one United Nations has brought into focus the reality that only when nations work together in firm and determined resolve can we begin to address the many difficulties that confront us. Two global wars exposed our vulnerability to leaders and nations that do not hesitate to use violence to resolve disputes and underscored the need for an international system to govern the behaviour of States. That is the rules-based framework that underpins everything we want to build
